SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
MR-138P,Rasuradora Eléctrica con 4 Peines,mr-138p.jpg,$88.00,$64.00,$57.00,$54.00,100,Salud y Belleza,0%
MR-139P,Rasuradora Eléctrica con 4 Peines,mr-139p.jpg,$106.00,$78.00,$69.00,$65.00,100,Salud y Belleza,0%
MR-150,Rasuradora Eléctrica Recargable,mr-150.jpg,$131.00,$96.00,$85.00,$80.00,100,Salud y Belleza,0%
MR-302,Rizador Para Cabello,mr-302.jpg,$106.00,$78.00,$69.00,$65.00,60,Salud y Belleza,0%
MR-305,Plancha de Cabello de 4 Niveles,mr-305.jpg,$126.00,$92.00,$82.00,$77.00,60,Salud y Belleza,0%
MR-310,Plancha y Rizadora 2 en 1 para el Cabello,mr-310.jpg,$88.00,$64.00,$57.00,$54.00,60,Salud y Belleza,0%
MR-313,Rizador Planchador Tenaza,mr-313.jpg,$137.00,$100.00,$89.00,$84.00,60,Salud y Belleza,0%
MR-321,Tenaza Rizadora de Cabello,mr-321.jpg,$91.00,$67.00,$59.00,$56.00,100,Salud y Belleza,0%
MR-325,Mini Cepillo Plancha/Rizador para Cabello,mr-325.jpg,$70.00,$51.00,$45.00,$43.00,100,Salud y Belleza,0%
MR-885,Depilador Eléctrico 4 en 1 con Cabezales Intercambiables,mr-885.jpg,$175.00,$128.00,$113.00,$107.00,120,Salud y Belleza,0%
MR-829S,Cepillo Dental Eléctrico,mr-829s.jpg,$64.00,$47.00,$42.00,$39.00,200,Salud y Belleza,0%
TXD-15,Rastrillo Desechable con Doble Hoja y Mango Ergonómico,txd-15.jpg,$20.00,$14.00,$12.00,$12.00,144,Salud y Belleza,0%
MR-926,Masajeador con 6 Velocidades y 4 Cabezales,mr-926.jpg,$282.00,$207.00,$183.00,$173.00,20,Salud y Belleza,0%
TXD-20,Rastrillo Desechable para Afeitar con Doble Navaja ,txd-20.jpg,$4.00,$3.50,$3.00,$2.50,1728,Salud y Belleza,0%
TXD-22,Rastrillo Desechable con Triple Hoja Lubricada,txd-22.jpg,$28.00,$20.00,$18.00,$17.00,144,Salud y Belleza,0%
TXD-27,Rastrillo con Cabeza Movible,txd-27.jpg,$31.00,$23.00,$20.00,$19.00,144,Salud y Belleza,0%
CFJ-115,Secadora de Cabello ,cfj-115.jpg,$210.00,$154.00,$136.00,$128.00,50,Salud y Belleza,0%
CFJ-113,Secadora de Cabello de 2000W,cfj-113.jpg,$191.00,$140.00,$124.00,$117.00,50,Salud y Belleza,0%
CFJ-111,Secadora de Cabello de 1200W,cfj-111.jpg,$173.00,$127.00,$112.00,$106.00,50,Salud y Belleza,0%
HZB-359,Bolsa Cosmetiquera,hzb-359.jpg,$47.00,$35.00,$32.00,$31.00,150.00,Salud y Belleza,0%
HZB-360,Bolsa Cosmetiquera,hzb-360.jpg,$55.00,$44.00,$39.00,$37.00,150,Salud y Belleza,0%
QCB-03,Bolsa Organizadora para Respaldo para Carro,qcb-03.jpg,$59.00,$43.00,$40.00,$38.00,100,Salud y Belleza,0%
SYZ-011,Kit de viaje,syz-011.jpg,$45.00,$35.00,$32.50,$31.00,160,Salud y Belleza,0%
XQ-522,Bolsa De Viaje,xq-522.jpg,$7.00,$5.50,$5.00,$4.50,1200,Salud y Belleza,0%
QJ-182,Cepillo Para Hendiduras,qj-182.jpg,$10.00,$9.00,$8.00,$7.00,600,Salud y Belleza,0%
